filename,cell_line,degradation,method,iou,improvement
MCF7_Phase_E4_1_02d04h00m_2,MCF7,noise_50,raw,0.34584861333944533,0.0
MCF7_Phase_E4_1_02d04h00m_2,MCF7,noise_50,DeBCR,0.34166762531995054,-0.004180988019494791
MCF7_Phase_E4_1_02d04h00m_2,MCF7,noise_50,PI-DDPM,0.3419244727102871,-0.003924140629158246
MCF7_Phase_E4_1_02d04h00m_2,MCF7,noise_50,PSF-Learning,0.26311993720440047,-0.08272867613504487
MCF7_Phase_E4_1_02d04h00m_2,MCF7,noise_50,DoG_filter,0.3487435544128301,0.0028949410733847825
MCF7_Phase_E4_1_02d04h00m_2,MCF7,noise_50,DeBCR+DoG,0.35170249312570245,0.005853879786257121
MCF7_Phase_E4_1_02d04h00m_2,MCF7,HQ_reference,raw_HQ,0.4055996144240459,0.059751001084600575
MCF7_Phase_E4_1_02d04h00m_2,MCF7,combined_mild,raw,0.36261663021251517,0.0
MCF7_Phase_E4_1_02d04h00m_2,MCF7,combined_mild,DeBCR,0.37772791201150424,0.015111281798989074
MCF7_Phase_E4_1_02d04h00m_2,MCF7,combined_mild,PI-DDPM,0.3549370888420515,-0.007679541370463672
MCF7_Phase_E4_1_02d04h00m_2,MCF7,combined_mild,PSF-Learning,0.2318155778088407,-0.13080105240367446
MCF7_Phase_E4_1_02d04h00m_2,MCF7,combined_mild,DoG_filter,0.35557021664640215,-0.007046413566113019
MCF7_Phase_E4_1_02d04h00m_2,MCF7,combined_mild,DeBCR+DoG,0.3667319060552804,0.00411527584276522
MCF7_Phase_E4_1_02d04h00m_2,MCF7,HQ_reference,raw_HQ,0.4055996144240459,0.04298298421153074
MCF7_Phase_E4_1_02d08h00m_2,MCF7,noise_50,raw,0.36730311086558715,0.0
MCF7_Phase_E4_1_02d08h00m_2,MCF7,noise_50,DeBCR,0.3619138914940078,-0.0053892193715793235
MCF7_Phase_E4_1_02d08h00m_2,MCF7,noise_50,PI-DDPM,0.36260804573042027,-0.004695065135166876
MCF7_Phase_E4_1_02d08h00m_2,MCF7,noise_50,PSF-Learning,0.27758877272299143,-0.08971433814259572
MCF7_Phase_E4_1_02d08h00m_2,MCF7,noise_50,DoG_filter,0.37160400658616904,0.004300895720581899
MCF7_Phase_E4_1_02d08h00m_2,MCF7,noise_50,DeBCR+DoG,0.37246126187826384,0.005158151012676693
MCF7_Phase_E4_1_02d08h00m_2,MCF7,HQ_reference,raw_HQ,0.4446811711132687,0.07737806024768157
MCF7_Phase_E4_1_02d08h00m_2,MCF7,combined_mild,raw,0.3756411853294532,0.0
MCF7_Phase_E4_1_02d08h00m_2,MCF7,combined_mild,DeBCR,0.3907609186407007,0.015119733311247552
MCF7_Phase_E4_1_02d08h00m_2,MCF7,combined_mild,PI-DDPM,0.3662551909825218,-0.009385994346931381
MCF7_Phase_E4_1_02d08h00m_2,MCF7,combined_mild,PSF-Learning,0.2336268047641945,-0.14201438056525867
MCF7_Phase_E4_1_02d08h00m_2,MCF7,combined_mild,DoG_filter,0.3847426256023745,0.009101440272921313
MCF7_Phase_E4_1_02d08h00m_2,MCF7,combined_mild,DeBCR+DoG,0.39041426372262944,0.014773078393176264
MCF7_Phase_E4_1_02d08h00m_2,MCF7,HQ_reference,raw_HQ,0.4446811711132687,0.06903998578381554
MCF7_Phase_E4_1_02d12h00m_4,MCF7,noise_50,raw,0.3309077080034666,0.0
MCF7_Phase_E4_1_02d12h00m_4,MCF7,noise_50,DeBCR,0.33226853315598776,0.0013608251525211723
MCF7_Phase_E4_1_02d12h00m_4,MCF7,noise_50,PI-DDPM,0.3331051159538515,0.002197407950384922
MCF7_Phase_E4_1_02d12h00m_4,MCF7,noise_50,PSF-Learning,0.2564933468799161,-0.07441436112355049
MCF7_Phase_E4_1_02d12h00m_4,MCF7,noise_50,DoG_filter,0.3318466757222033,0.000938967718736694
MCF7_Phase_E4_1_02d12h00m_4,MCF7,noise_50,DeBCR+DoG,0.3295065362810965,-0.001401171722370087
MCF7_Phase_E4_1_02d12h00m_4,MCF7,HQ_reference,raw_HQ,0.38836568278396694,0.057457974780500354
MCF7_Phase_E4_1_02d12h00m_4,MCF7,combined_mild,raw,0.3349618285344698,0.0
MCF7_Phase_E4_1_02d12h00m_4,MCF7,combined_mild,DeBCR,0.31952614788784006,-0.015435680646629757
MCF7_Phase_E4_1_02d12h00m_4,MCF7,combined_mild,PI-DDPM,0.3254394502848235,-0.009522378249646302
MCF7_Phase_E4_1_02d12h00m_4,MCF7,combined_mild,PSF-Learning,0.24654989749446196,-0.08841193104000786
MCF7_Phase_E4_1_02d12h00m_4,MCF7,combined_mild,DoG_filter,0.3408859815030105,0.005924152968540708
MCF7_Phase_E4_1_02d12h00m_4,MCF7,combined_mild,DeBCR+DoG,0.3421496135399467,0.007187785005476899
MCF7_Phase_E4_1_02d12h00m_4,MCF7,HQ_reference,raw_HQ,0.38836568278396694,0.05340385424949712
MCF7_Phase_E4_1_02d20h00m_1,MCF7,noise_50,raw,0.40174164226889497,0.0
MCF7_Phase_E4_1_02d20h00m_1,MCF7,noise_50,DeBCR,0.4059848509476285,0.004243208678733512
MCF7_Phase_E4_1_02d20h00m_1,MCF7,noise_50,PI-DDPM,0.405148659155901,0.003407016887006009
MCF7_Phase_E4_1_02d20h00m_1,MCF7,noise_50,PSF-Learning,0.2975190507672501,-0.10422259150164487
MCF7_Phase_E4_1_02d20h00m_1,MCF7,noise_50,DoG_filter,0.4078977298576043,0.006156087588709336
MCF7_Phase_E4_1_02d20h00m_1,MCF7,noise_50,DeBCR+DoG,0.40401779177634684,0.0022761495074518634
MCF7_Phase_E4_1_02d20h00m_1,MCF7,HQ_reference,raw_HQ,0.518872851256504,0.11713120898760898
MCF7_Phase_E4_1_02d20h00m_1,MCF7,combined_mild,raw,0.35539303328183297,0.0
MCF7_Phase_E4_1_02d20h00m_1,MCF7,combined_mild,DeBCR,0.3582675184868454,0.0028744852050124337
MCF7_Phase_E4_1_02d20h00m_1,MCF7,combined_mild,PI-DDPM,0.36382378617957156,0.008430752897738591
MCF7_Phase_E4_1_02d20h00m_1,MCF7,combined_mild,PSF-Learning,0.24719963399695982,-0.10819339928487315
MCF7_Phase_E4_1_02d20h00m_1,MCF7,combined_mild,DoG_filter,0.42151902772018246,0.06612599443834949
MCF7_Phase_E4_1_02d20h00m_1,MCF7,combined_mild,DeBCR+DoG,0.42479467828966777,0.0694016450078348
MCF7_Phase_E4_1_02d20h00m_1,MCF7,HQ_reference,raw_HQ,0.518872851256504,0.16347981797467098
MCF7_Phase_E4_1_03d00h00m_1,MCF7,noise_50,raw,0.4159139497169147,0.0
MCF7_Phase_E4_1_03d00h00m_1,MCF7,noise_50,DeBCR,0.42108473542418545,0.005170785707270753
MCF7_Phase_E4_1_03d00h00m_1,MCF7,noise_50,PI-DDPM,0.41156348514320207,-0.004350464573712631
MCF7_Phase_E4_1_03d00h00m_1,MCF7,noise_50,PSF-Learning,0.30519898277110663,-0.11071496694580807
MCF7_Phase_E4_1_03d00h00m_1,MCF7,noise_50,DoG_filter,0.4263771505350788,0.010463200818164098
MCF7_Phase_E4_1_03d00h00m_1,MCF7,noise_50,DeBCR+DoG,0.42312701720501156,0.007213067488096858
MCF7_Phase_E4_1_03d00h00m_1,MCF7,HQ_reference,raw_HQ,0.5396872709771278,0.12377332126021307
MCF7_Phase_E4_1_03d00h00m_1,MCF7,combined_mild,raw,0.3706462262910057,0.0
MCF7_Phase_E4_1_03d00h00m_1,MCF7,combined_mild,DeBCR,0.3746523301244086,0.004006103833402885
MCF7_Phase_E4_1_03d00h00m_1,MCF7,combined_mild,PI-DDPM,0.3790202091688291,0.008373982877823427
MCF7_Phase_E4_1_03d00h00m_1,MCF7,combined_mild,PSF-Learning,0.27774150748689,-0.09290471880411566
MCF7_Phase_E4_1_03d00h00m_1,MCF7,combined_mild,DoG_filter,0.43875613155917015,0.06810990526816446
MCF7_Phase_E4_1_03d00h00m_1,MCF7,combined_mild,DeBCR+DoG,0.43010867550355497,0.059462449212549284
MCF7_Phase_E4_1_03d00h00m_1,MCF7,HQ_reference,raw_HQ,0.5396872709771278,0.16904104468612208
MCF7_Phase_E4_1_03d04h00m_1,MCF7,noise_50,raw,0.429869157833604,0.0
MCF7_Phase_E4_1_03d04h00m_1,MCF7,noise_50,DeBCR,0.42255180883976184,-0.0073173489938421765
MCF7_Phase_E4_1_03d04h00m_1,MCF7,noise_50,PI-DDPM,0.42391480049239644,-0.005954357341207583
MCF7_Phase_E4_1_03d04h00m_1,MCF7,noise_50,PSF-Learning,0.3108553913291945,-0.11901376650440953
